Timestamp_JST,Action,Ticket,Symbol,LotSize
2026-05-15 22:30:03,ENTRY,1804410050,XAGUSDm,0.01
2026-05-15 23:35:01,EXIT,1804410050,XAGUSDm,0
2026-05-19 19:20:03,ENTRY,1821669876,XAGUSDm,0.01,75.847,0.0,0.0
